sixties,6.04,1960s
seventies,6.06,1970s
eighties,6.4,1980s
absorb,5.66,absorbed
abstraction,5.53,abstract
maltreatment,1.88,abuse
mistreat,1.83,abused
academician,5.96,academic
credence,6.86,acceptance
entree,5.88,access
harmonize,5.1,according
accretion,5.7,accumulation
accusation,3.16,accusations
habituate,5.6,accustomed
accomplishment,7.58,achievement
adapt,6.0,adapted
addendum,4.82,addenda
adieu,4.34,adios
adjust,5.14,adjusted
administer,5.45,administered
rede,5.34,advised
ripening,3.06,aging
agribusiness,6.5,agriculture
pluto,5.92,aides
foreigner,4.72,alien
allegation,3.84,allegations
allege,4.0,alleged
ally,5.88,allied
godhead,6.24,almighty
alumnus,6.04,alumni
amaze,7.22,amazed
amaze,7.66,amazing
annoyance,2.82,annoying
ante,4.94,antes
antony,5.34,anthony
old-timer,6.7,antiques
entreaty,5.62,appeal
entreaty,5.58,appeals
appoint,5.7,appointed
originate,6.2,arise
originate,6.14,arises
originate,5.82,arising
originate,6.38,arose
arrange,5.6,arranged
apprehension,2.42,arrest
apprehension,2.72,arrests
ash,4.47,ashes
assemble,6.31,assembled
buttocks,5.0,assess
appraisal,5.28,assessment
delegate,5.44,assigned
premise,5.29,assumption
premise,4.82,assumptions
athlete,6.24,athletes
atom,5.5,atoms
attach,5.58,attached
impute,5.9,attributed
authorize,5.96,authorized
embodiment,6.0,avatar
atrocious,2.92,awful
footing,5.38,basis
beggary,3.62,begging
buttocks,4.42,behind
abdomen,4.78,belly
benzoin,5.68,benjamin
deplore,2.22,bewail
deplore,2.22,bewailed
deplore,2.22,bewailing
truncheon,4.98,billy
incrimination,2.82,blame
barricade,3.64,blocked
blond,6.18,blonde
blooming,7.24,bloom
bonny,5.3,bonnie
dumbbell,5.92,boobs
bookshop,6.88,bookstores
drilling,2.9,boring
interruption,5.04,break
dislocation,2.94,breakdown
breakage,3.98,breaking
interruption,4.42,breaks
groom,6.68,bridegroom
interrupt,2.54,broke
interrupt,3.02,broken
barbarous,2.6,brutal
physique,6.22,build
calculate,5.42,calculated
caliph,5.32,calif
calorie,4.22,calories
palestine,5.08,canaan
cancel,3.24,canceled
cancel,2.88,cancelled
campaigner,5.34,candidate
campaigner,5.18,candidates
lovingness,7.34,caring
sanchez,5.1,carlos
carve,5.38,carved
discontinue,4.0,ceased
irons,4.53,chains
qualify,5.56,characterized
darnel,2.44,cheat
thorax,5.54,chest
harass,5.35,chevy
cooling,4.76,chilling
cocoa,7.86,chocolate
chow,4.88,chuck
categorization,5.18,classification
cagey,7.06,clever
chink,5.72,click
ascent,5.68,climb
cupboard,5.18,closet
shutting,3.96,closing
apparel,6.46,clothes
seashore,6.44,coast
clash,4.04,collide
colt,5.34,colts
semen,5.58,comes
comedian,7.08,comic
committedness,6.32,commitment
perpetrate,6.38,committed
compel,4.45,compelled
ailment,2.86,complaint
ailment,3.04,complaints
complicate,3.34,complicated
complication,3.65,complications
compose,6.06,composed
grok,6.1,comprehend
gestate,6.29,conceived
condemn,3.0,condemned
condolence,3.4,condolences
assurance,7.22,confidence
restrict,3.44,confined
confirm,6.72,confirmed
confuse,2.98,confused
confuse,3.56,confusing
suppress,5.04,conquer
back-to-back,5.4,consecutive
constraint,4.42,constraints
consult,5.6,consulting
devour,5.31,consume
incorporate,5.7,contain
incorporate,5.12,contained
incorporate,5.78,containing
incorporate,5.71,contains
subscriber,5.98,contributor
convert,5.26,converted
convict,3.2,convicted
convert,5.78,convince
convert,5.96,convinced
transcript,5.28,copies
aureole,1.72,corona
cadaver,2.55,corpse
corruptness,2.14,corruption
coward,2.78,cowards
icky,2.98,crappy
clang,2.6,crash
crook,3.7,crooked
traverse,4.7,crossed
herd,3.71,crowded
barbarous,1.84,cruel
oppress,3.54,crushed
cultivate,6.46,cultivated
accumulative,5.48,cumulative
detention,4.36,custody
artemis,5.26,cynthia
darken,3.57,darkened
davys,5.1,davis
trader,4.72,dealer
trader,4.74,dealers
misrepresentation,3.39,deception
worsen,3.16,declined
deem,5.38,deemed
profoundly,5.76,deeply
specify,5.34,define
specify,5.78,defined
decidedly,6.2,definitely
dependant,4.52,dependent
depress,2.18,depressed
depress,1.9,depressing
deduce,5.42,derived
designate,5.64,designated
contemn,3.54,despise
contempt,4.48,despite
destine,5.96,destined
detect,5.26,detected
excavation,5.26,digging
disappoint,2.26,disappointed
catastrophe,1.96,disaster
unwrap,4.92,disclosed
discontinue,3.38,discontinued
detect,6.84,discover
detect,7.0,discovered
discus,5.96,discuss
disgust,2.58,disgusting
disfavor,2.88,dislike
dismiss,3.14,dismissed
expose,5.9,displayed
dispose,4.5,disposed
distribute,5.46,distributed
disturb,3.41,disturbed
divers,5.86,diverse
diverseness,5.82,diversity
godhead,7.26,divine
confederacy,5.55,dixie
pooch,6.71,doggy
predominate,4.04,dominated
apprehension,3.2,dread
submerge,2.9,drown
submerge,2.16,drowned
submerge,2.44,drowning
drunkard,3.88,drunk
bibulous,3.53,drunken
brood,5.47,dwell
earring,6.3,earrings
educate,7.29,educated
efficaciously,6.44,effectively
elect,6.1,elected
extinguish,3.82,eliminate
extinguish,3.38,eliminated
elli,5.24,ellis
emerge,5.68,emerged
emerge,6.28,emerging
infinitely,5.14,endlessly
prosecute,6.2,engage
prosecute,6.16,engaged
entertain,7.62,entertaining
stallion,5.88,entire
entitle,5.64,entitled
peer,6.06,equal
errand,4.44,errands
mistakenly,3.94,erroneously
kernel,6.1,essence
ageless,7.2,eternal
everlastingly,6.96,eternally
analyze,5.16,examine
analyze,5.65,examined
demur,4.7,except
excite,7.62,excited
exhilaration,7.62,excitement
excite,7.58,exciting
exclude,3.58,excluded
exert,6.39,exercised
exhaust,3.14,exhausted
expectation,5.46,expectations
outgo,4.2,expenditure
expose,4.2,exposed
widen,6.0,extend
widen,5.8,extended
widen,6.1,extending
widen,5.56,extends
supernumerary,6.52,extra
infusion,5.28,extract
confront,5.24,faced
attenuation,4.06,fading
fagot,3.18,faggot
antic,7.78,fantastic
front-runner,7.16,favourite
banquet,7.49,feast
fiber,5.78,fibers
violin,5.96,fiddle
fete,7.18,fiesta
combatant,4.58,fighter
calculate,5.4,figured
fingertip,5.98,fingertips
coating,6.72,finish
coating,6.22,finishing
fireman,6.66,firefighters
firework,7.14,fireworks
fisherman,5.44,fisher
firenze,5.92,florence
blush,4.06,flushing
footfall,5.5,footsteps
forbid,3.36,forbidden
coerce,3.16,forced
prognosis,5.92,forecast
everlastingly,6.46,forever
extroverted,6.1,forthcoming
contend,3.1,fought
laminitis,5.88,founder
initiation,5.78,founding
fragment,4.63,fragments
freelancer,6.08,freelance
expressway,5.86,freeway
patronize,5.78,frequent
frighten,3.2,frightened
thwart,2.9,frustrated
fund-raise,6.02,fund-raising
fetid,5.72,funky
amusing,7.76,funniest
derive,6.44,gained
coevals,5.5,generation
coevals,6.4,generations
familial,5.5,genetic
pacify,7.24,gentle
geographic,6.04,geographical
acquiring,5.68,getting
spectacles,5.5,glasses
radiance,7.1,glowing
aureate,7.3,golden
adieu,3.7,goodbye
adieu,4.02,goodbyes
chitchat,3.58,gossip
alumnus,7.08,graduate
gram,5.38,grams
grandchild,7.42,grandchildren
artwork,6.44,graphics
avaricious,3.04,greedy
grillroom,6.24,grill
swot,4.22,grind
bang-up,6.54,groovy
guerrilla,4.28,guerrillas
usher,6.1,guide
guideline,5.26,guidelines
steer,6.36,guiding
itinerant,5.31,gypsy
hallway,5.47,halls
fine-looking,7.54,handsome
seaport,6.06,harbor
hard-core,5.18,hardcore
harass,5.24,harry
earphone,6.3,headphones
celestial,7.38,heavenly
concealment,4.34,hiding
retention,5.64,holding
retention,5.54,holdings
clasp,5.4,holds
bellow,5.28,holla
bellow,4.62,holler
homelike,5.82,homey
whitey,3.94,honky
hurrah,7.3,hooray
aroused,5.76,horny
atrocious,2.24,horrible
howl,4.32,howling
homo,6.26,human
bunco,4.67,hustle
streetwalker,3.69,hustler
hypnotize,5.14,hypnotized
designation,5.73,identification
exemplify,5.9,illustrate
exemplify,6.34,illustrated
immigrant,5.22,immigrants
deduction,4.17,implications
imply,5.02,implied
imply,5.27,implies
enforce,3.9,impose
enforce,4.04,imposed
integrate,5.29,incorporated
falsely,3.14,incorrectly
mugwump,6.86,independent
bespeak,5.48,indicate
bespeak,5.0,indicated
bespeak,5.32,indicates
bespeak,5.59,indicating
indict,3.6,indicted
induce,4.71,induced
inform,6.18,informed
inhabitant,5.42,inhabitants
built-in,5.94,inherent
originate,6.18,initiated
injure,2.22,injured
inmate,3.48,inmates
artlessness,6.5,innocence
penetration,6.24,insight
insist,4.58,insisted
alternatively,4.92,instead
integrate,6.08,integrated
intend,5.2,intended
synergistic,6.04,interactive
interpret,5.49,interpreted
confidant,6.76,intimate
invent,6.58,invented
probe,4.02,investigation
probe,4.52,investigations
engagement,5.64,involvement
irani,4.22,iranian
guerrilla,4.36,irregular
islander,5.96,islanders
publish,4.88,issued
covetous,2.68,jealous
gelatin,6.24,jelly
kraut,5.46,jerry
jewel,7.46,jewels
cabal,4.88,junto
juror,4.58,jurors
snog,7.84,kissed
caressing,7.94,kissing
cognition,7.24,knowledge
intertwine,5.16,laced
lawgiver,4.7,lawmakers
bequest,5.9,legacy
legislator,4.2,legislators
legalize,6.24,legitimate
lesion,3.65,lesions
restriction,3.62,limitations
populate,5.82,lived
anteroom,5.2,lobby
locate,5.86,located
long-run,5.58,long-term
godhead,5.58,lords
losings,2.46,losses
fondly,7.96,lovingly
fortunately,7.28,luckily
lyric,6.68,lyrics
lunacy,3.6,madness
charming,7.38,magical
stateliness,6.58,majesty
tarawa,4.94,makin
devising,6.24,making
fabrication,5.66,manufacturing
fringy,4.94,marginal
multitude,5.21,masses
maestro,5.7,master
decoration,6.78,medal
checkup,4.72,medical
thaw,5.14,melting
clemency,6.68,mercy
amalgamation,5.1,merger
metamorphosis,5.47,metabolism
curate,5.18,minister
curate,5.4,ministers
subtraction,3.96,minus
misspell,3.46,misspelled
misstate,3.46,misstated
brumous,5.88,misty
misconstrue,3.46,misunderstood
groan,4.27,moaned
groan,4.27,moaning
centrist,5.34,moderate
alteration,5.72,modification
modify,5.49,modified
molecule,5.66,molecules
proctor,5.18,monitor
gesture,5.76,motion
mourner,2.82,mourners
cryptic,5.54,mysterious
countrywide,5.84,nationwide
necessitate,5.46,needed
destitute,3.9,neediest
necessitate,4.94,needing
disregard,2.76,neglect
negociate,6.08,negotiate
negociate,5.2,negotiating
negotiation,5.32,negotiations
vicinity,6.38,neighborhood
vicinity,6.08,neighborhoods
nervousness,4.47,nerves
newsstand,5.74,newsstands
cipher,3.64,nobody
snare,3.32,noose
norm,5.21,norms
detect,5.34,noticed
expostulation,4.18,objection
compel,4.9,obliged
detect,6.27,observe
detect,5.74,observed
perceiver,5.7,observer
compulsion,3.74,obsession
juncture,6.26,occasion
discourtesy,3.56,offense
exclude,3.92,omitted
erstwhile,4.8,one-time
on-line,6.72,online
antonym,4.4,opposite
orient,5.64,oriented
mentality,5.88,outlook
cloudiness,4.68,overcast
nightlong,5.58,overnight
pancake,6.96,pancakes
pantie,6.42,panties
bloomers,5.92,pants
analogue,5.59,parallel
participant,6.0,participants
engagement,6.22,participation
atom,5.53,particle
atom,5.48,particles
spouse,6.7,partner
spouse,7.12,partners
curate,5.5,pastor
hapless,2.76,pathetic
cheep,5.32,peeps
percept,5.76,perception
perfective,7.42,perfect
performer,6.8,performers
aroma,6.62,perfume
irani,5.24,persian
apparition,5.02,phantom
philosopher,5.82,philosophers
philosophic,6.18,philosophical
hypocrite,3.36,phony
plagiarist,4.54,pirate
plagiarist,4.14,pirates
airplane,6.3,plane
airplane,5.9,planes
politician,3.34,politicians
portrayal,6.42,portrait
buttocks,5.15,posterior
predate,5.31,preceding
predecease,3.78,predeceased
predict,5.48,predicted
foreword,5.5,preface
imperativeness,5.36,press
make-believe,4.64,pretend
pretense,4.92,pretending
predominate,6.82,prevail
precedence,5.66,priority
merchandise,5.56,product
productiveness,7.02,productivity
merchandise,5.76,products
scheduling,5.84,programming
advancement,7.26,progress
undertaking,5.74,project
undertaking,5.46,projects
prolong,5.16,prolonged
motivate,5.54,prompted
pronounce,5.6,pronounced
promptly,5.36,pronto
propose,6.24,proposed
dissenter,3.8,protesters
commissariat,5.84,provisions
psychotic,2.5,psycho
populace,5.18,public
pneumonic,4.72,pulmonary
pulsation,5.94,pulse
prosecute,5.68,pursue
cunt,4.8,pussy
putt,5.4,putting
qualify,6.81,qualified
one-fourth,5.56,quarter
lull,5.5,quiet
ramp,3.42,raging
raindrop,6.78,raindrops
showery,5.64,rainy
aroused,5.3,randy
ranking,5.7,rankings
recoil,5.32,rebounds
holocene,5.56,recent
foolhardy,3.74,reckless
recommendation,6.2,recommendations
contemplation,6.06,reflection
refugee,3.06,refugees
careless,5.14,regardless
declination,3.08,regrets
regulator,4.88,regulators
regulative,4.5,regulatory
caribou,6.54,reindeer
reject,2.08,rejected
loath,3.94,reluctant
redress,6.45,remedy
compunction,3.24,remorse
nephritic,4.12,renal
repose,5.36,reposing
reprint,5.39,reprinted
repute,6.28,reputation
necessitate,4.44,require
necessitate,4.46,required
necessitate,4.68,requires
necessitate,5.02,requiring
reservation,5.94,reservations
modesty,5.32,reserve
militia,5.52,reserves
vacate,3.76,resigned
defy,4.74,resist
resoluteness,6.32,resolve
restrict,3.57,restricted
restriction,3.32,restrictions
restructure,4.94,restructuring
retailer,5.5,retailers
uncover,5.96,reveal
uncover,6.35,revealed
uncover,5.96,reveals
retaliation,3.71,revenge
reappraisal,5.32,review
reappraisal,5.3,reviews
revise,5.27,revised
revolutionist,6.24,revolutionary
rend,4.13,ripped
rend,4.34,ripping
hazard,3.78,risks
riverbank,6.46,riverside
automaton,6.12,robot
peal,5.7,rolling
cub,5.24,rookie
icky,2.58,rotten
decomposition,3.04,rotting
wanderer,5.78,rover
bully,4.29,rowdy
govern,4.92,ruled
rumor,4.08,rumors
smuggler,5.6,runner
forfeit,4.1,sacrifice
seafaring,6.86,sailing
wisecrack,5.48,sally
redemption,6.3,salvation
sanction,3.86,sanctions
littoral,6.2,sands
flaxen,5.66,sandy
salvage,6.88,saved
frighten,2.58,scared
disperse,4.32,scattered
aroma,6.31,scent
marking,6.44,scoring
lookout,5.88,scout
abrasion,4.22,scratch
seating,5.58,seats
layman,5.64,secular
procure,6.92,secure
procure,6.71,secured
seize,3.44,seized
centripetal,5.9,sensory
offprint,4.32,separate
individually,4.55,separately
waiter,5.48,server
hovel,4.36,shack
sunglasses,5.84,shades
fly-by-night,4.68,shady
bushy,5.0,shaggy
shingle,5.14,shake
shingle,4.69,shakes
shoal,4.12,shallow
stockholder,5.66,shareholders
aggressively,4.36,sharply
radiance,7.14,shine
radiance,7.6,shines
glistening,6.74,shiny
icky,2.58,shitty
short-run,4.62,short-term
cheering,3.42,shouting
shuttlecock,5.78,shuttle
disgust,2.02,sicken
disgust,2.02,sickened
mutely,5.37,silently
siren,3.58,sirens
situate,5.74,situated
bondage,2.02,slavery
insomniac,2.92,sleepless
sled,5.88,sleigh
slickness,5.18,slick
rebuff,4.7,slight
fink,3.66,snitch
sociable,6.22,social
sock,5.06,socks
erstwhile,4.9,sometime
oklahoman,6.24,sooner
sophisticate,6.02,sophisticated
regretful,3.66,sorry
flicker,6.26,spark
flicker,6.64,sparks
specialize,5.98,specialized
forte,6.6,specialty
stipulate,5.28,specified
enchantment,5.6,spell
malice,3.53,spite
patron,6.0,sponsor
limelight,6.35,spotlight
starvation,2.58,starving
hoard,5.31,stash
corset,5.28,stays
bargain,2.46,steal
larceny,2.46,stealing
gluey,4.6,sticky
malodor,3.1,stink
stoke,5.92,stoked
fillet,4.08,stopping
heterosexual,6.06,straight
maroon,3.73,stranded
cyclosis,5.7,streaming
rigorous,4.13,strict
discord,4.02,strife
deprive,4.65,stripped
amble,6.6,stroll
lodge,3.66,stuck
analyze,6.12,studied
perusal,5.56,studying
lurch,4.42,stumble
stun,6.5,stunning
subordinate,4.9,subsidiary
subsidy,5.14,subsidies
elusive,5.84,subtle
chump,3.68,sucker
chump,3.3,suckers
propose,5.52,suggest
propose,5.6,suggested
propose,5.54,suggesting
propose,5.68,suggests
acme,5.52,summit
cheery,6.96,sunny
overseer,4.8,superintendent
demigod,7.12,superman
supermarket,6.44,supermarkets
survivor,6.66,survivors
suspend,3.08,suspended
intuition,3.52,suspicion
leery,3.28,suspicious
prolong,5.88,sustained
perspiration,4.16,sweat
symptom,3.76,symptoms
greaser,6.56,tacos
pickings,5.32,taking
negotiation,5.82,talks
embroil,4.38,tangled
undertaking,5.18,tasks
taxpayer,4.12,taxpayers
teardrop,3.52,teardrops
lacrimation,3.73,tearing
adolescent,5.58,teenage
dentition,5.36,teeth
telecommunication,6.1,telecommunications
pique,4.08,temper
tempt,4.86,tempted
tenant,5.44,tenants
inclination,5.16,tendency
footing,4.54,terms
testify,4.94,testified
larceny,2.3,theft
thigh,5.58,thighs
one-third,5.3,third
lash,5.51,thong
irritant,3.46,thorn
irritant,3.79,thorns
menace,2.36,threat
endanger,2.62,threatened
menace,2.88,threats
lumber,5.71,timber
anguish,1.58,torture
torment,1.82,tortured
trader,5.58,traders
calamity,2.06,tragedy
dawdler,5.52,trailer
enchantment,5.22,trance
transform,6.18,transformed
theodolite,5.08,transit
translate,5.92,translated
convey,5.34,transmitted
conveyance,6.04,transport
rubbish,2.68,trash
dainty,6.74,treat
dainty,6.7,treats
swerve,5.58,trending
slippery,4.46,tricky
disturb,2.78,troubled
acrobatics,5.12,tumbling
convulsion,3.06,turmoil
tweeter,5.0,tweeters
writhe,4.12,twisted
distortion,4.54,twisting
chirrup,5.46,twitter
chitter,5.02,twittering
chirrup,5.52,twitters
biennial,5.32,two-year
ill-defined,3.96,unclear
nether,4.6,under
clandestine,5.04,undercover
underlie,4.19,underlying
undertake,5.22,undertaken
undo,4.65,undone
blossom,5.46,unfold
improbable,3.48,unlikely
unlock,6.32,unlocked
ascent,6.58,upgrade
disturbance,2.56,upset
edgy,4.17,uptight
exploitation,5.0,using
cogency,6.08,validity
assortment,6.62,varieties
assortment,6.78,variety
assorted,5.78,various
vega,6.36,vegas
barbarous,3.0,vicious
viking,5.52,vikings
violate,2.62,violated
misdemeanor,2.74,violation
misdemeanor,2.86,violations
visitor,6.32,visitors
ocular,5.94,visual
juju,3.86,voodoo
voter,5.58,voters
howl,2.22,wailed
aftermath,5.36,wakes
privation,5.38,wants
cachexia,3.22,wasting
affluent,7.14,wealthy
erosion,5.5,wearing
wyrd,4.2,weird
wei,4.76,weiss
rustle,5.37,whispering
jobber,5.64,wholesalers
prostitute,3.14,whore
prostitute,3.4,whores
volition,6.4,willing
blowy,5.3,windy
enchantress,3.8,witch
hagiographa,6.12,writings
yokel,6.14,yahoo
delectable,7.22,yummy
zombi,3.48,zombie
zombi,4.0,zombies
